ang_s0 ang_s1 ang_e0 ang_e1 ang_w0 ang_w1 ang_w2 vel_s0 vel_s1 vel_e0 vel_e1 vel_w0 vel_w1 vel_w2 torq_s0 torq_s1 torq_e0 torq_e1 torq_w0 torq_w1 torq_w2
1.47147 -0.54418 -0.46518 1.55392 0.600553 0.822981 1.45613 -0.33026 0.580802 -0.124093 -1.51975 -0.397019 0.604757 0.244259 -4.86 -15.296 -8.716 -5.532 0.136 0.688 0.112
1.4707 -0.541879 -0.46518 1.55124 0.599403 0.824515 1.45651 -0.352251 0.57766 -0.109563 -1.53035 -0.397804 0.607898 0.239546 -4.672 -15.296 -8.816 -5.504 0.144 0.736 0.12
1.47032 -0.541495 -0.46518 1.54855 0.598636 0.825282 1.45805 -0.359712 0.579231 -0.0922843 -1.53624 -0.398197 0.621643 0.229729 -4.956 -15.36 -8.784 -5.472 0.172 0.728 0.14
1.46955 -0.539961 -0.465947 1.54625 0.599403 0.826432 1.45767 -0.357749 0.590619 -0.0805033 -1.53428 -0.400553 0.640492 0.221482 -4.644 -15.36 -8.816 -5.472 0.172 0.676 0.156
1.46879 -0.539194 -0.46633 1.54318 0.598636 0.827199 1.45805 -0.358142 0.604364 -0.0726493 -1.52878 -0.397411 0.650702 0.217555 -4.736 -15.392 -8.952 -5.412 0.144 0.676 0.12
1.46917 -0.536893 -0.46633 1.53973 0.597869 0.828733 1.45882 -0.365603 0.616145 -0.0742201 -1.52603 -0.382489 0.649524 0.214806 -4.644 -15.36 -8.884 -5.412 0.136 0.648 0.14
1.46764 -0.536126 -0.46633 1.53705 0.597102 0.830651 1.4592 -0.367959 0.62557 -0.0824668 -1.52917 -0.362461 0.643241 0.213628 -4.736 -15.296 -8.848 -5.352 0.1 0.628 0.14
1.46687 -0.534209 -0.46633 1.53436 0.596719 0.831801 1.45958 -0.360105 0.635387 -0.0863938 -1.53153 -0.349109 0.64167 0.214806 -4.768 -15.264 -8.916 -5.38 0.064 0.6 0.156
1.46725 -0.534209 -0.465947 1.53168 0.596719 0.832952 1.45997 -0.347931 0.64167 -0.0840376 -1.52681 -0.337721 0.647561 0.214806 -4.612 -15.264 -9.052 -5.44 0.008 0.58 0.1
1.4661 -0.533058 -0.46633 1.52861 0.596335 0.834486 1.46035 -0.336543 0.640492 -0.0797179 -1.51425 -0.32005 0.656986 0.209701 -4.644 -15.232 -9.052 -5.44 -0.036 0.56 0.12
1.46457 -0.531908 -0.467481 1.52631 0.595952 0.836403 1.46035 -0.331045 0.631067 -0.0726493 -1.49933 -0.296881 0.665232 0.20224 -4.828 -15.36 -8.916 -5.472 -0.064 0.592 0.12
1.46418 -0.530757 -0.466714 1.52363 0.594034 0.837554 1.46112 -0.333402 0.619286 -0.069115 -1.48597 -0.275675 0.672301 0.198706 -4.704 -15.296 -8.916 -5.504 -0.1 0.58 0.14
1.46303 -0.529607 -0.467097 1.52094 0.594418 0.838321 1.46112 -0.34047 0.609076 -0.0687223 -1.47105 -0.26625 0.68094 0.195564 -4.672 -15.328 -9.016 -5.564 -0.128 0.56 0.12
1.46188 -0.528073 -0.467481 1.51787 0.594034 0.840238 1.46227 -0.344397 0.599651 -0.0675442 -1.45809 -0.268606 0.692721 0.188496 -4.704 -15.36 -8.984 -5.592 -0.156 0.54 0.14
1.46188 -0.527306 -0.467481 1.51519 0.593267 0.841772 1.46188 -0.355393 0.592976 -0.0683296 -1.45024 -0.27057 0.704895 0.180249 -4.736 -15.36 -8.952 -5.592 -0.172 0.532 0.128
1.46112 -0.526922 -0.467097 1.51174 0.592884 0.843306 1.4615 -0.370708 0.589049 -0.0734347 -1.44278 -0.269392 0.713534 0.173966 -4.644 -15.392 -8.984 -5.624 -0.172 0.524 0.148
1.46112 -0.525772 -0.467864 1.50944 0.592884 0.84484 1.46227 -0.380133 0.583944 -0.0773617 -1.44042 -0.266643 0.714712 0.168075 -4.644 -15.36 -9.184 -5.624 -0.192 0.504 0.1
1.46073 -0.524238 -0.467481 1.50675 0.592117 0.845607 1.46227 -0.382096 0.578053 -0.0777544 -1.43963 -0.26193 0.713534 0.163363 -4.768 -15.392 -9.184 -5.656 -0.156 0.532 0.112
1.4592 -0.523471 -0.467481 1.50484 0.591733 0.846374 1.46188 -0.376598 0.570592 -0.0789325 -1.4361 -0.253684 0.709215 0.161399 -4.768 -15.36 -9.12 -5.716 -0.136 0.524 0.156
1.45882 -0.521937 -0.467864 1.50138 0.59135 0.849825 1.46265 -0.369137 0.561167 -0.0753982 -1.42707 -0.250149 0.705288 0.156687 -4.86 -15.36 -9.184 -5.744 -0.128 0.524 0.148
1.4569 -0.52117 -0.467864 1.49832 0.590199 0.849442 1.46303 -0.364817 0.555669 -0.0659734 -1.41568 -0.251327 0.71 0.144513 -4.736 -15.328 -9.32 -5.836 -0.1 0.54 0.1
1.45728 -0.519252 -0.467864 1.49601 0.589049 0.850976 1.46303 -0.369923 0.555669 -0.056156 -1.41058 -0.258003 0.722959 0.127627 -4.672 -15.328 -9.184 -5.96 -0.08 0.54 0.14
